base_id,display_name,vendor,total_requests,variant_count
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,4905,6
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,4905,6
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,4905,6
gpt-5.6-sol,gpt-5.6-sol,OpenAI,4417,3
gpt-5.6-luna,gpt-5.6-luna,OpenAI,2199,3
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,2173,5
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,2173,5
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,2173,5
gpt-5.5,gpt-5.5,OpenAI,1724,4
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,1683,10
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,1683,10
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,1683,10
deepseek-v4-flash,deepseek-v4-flash,DeepSeek,1543,6
deepseek-v4-flash,deepseek-v4-flash,DeepSeek,1543,6
deepseek-v4-flash,deepseek-v4-flash,DeepSeek,1543,6
gemini-3-flash-preview,gemini-3-flash-preview,Google,1379,5
gemini-3-flash-preview,gemini-3-flash-preview,Google,1379,5
gemini-3-flash-preview,gemini-3-flash-preview,Google,1379,5
gpt-5.4-mini,gpt-5.4-mini,OpenAI,1019,4
gpt-5.6-terra,gpt-5.6-terra,OpenAI,1009,3
claude-opus-4-7,claude-opus-4-7,Anthropic,987,10
claude-opus-4-7,claude-opus-4-7,Anthropic,987,10
claude-opus-4-7,claude-opus-4-7,Anthropic,987,10
gpt-5-mini,gpt-5-mini,OpenAI,971,2
gemini-3.1-flash-lite,gemini-3.1-flash-lite,Google,751,4
gemini-3.1-flash-lite,gemini-3.1-flash-lite,Google,751,4
claude-opus-5,claude-opus-5,Anthropic,736,10
claude-opus-5,claude-opus-5,Anthropic,736,10
claude-opus-5,claude-opus-5,Anthropic,736,10
gpt-5-nano,gpt-5-nano,OpenAI,682,1
gemini-3.6-flash,gemini-3.6-flash,Google,676,6
gemini-3.6-flash,gemini-3.6-flash,Google,676,6
gemini-3.6-flash,gemini-3.6-flash,Google,676,6
claude-sonnet-5,claude-sonnet-5,Anthropic,492,10
claude-sonnet-5,claude-sonnet-5,Anthropic,492,10
claude-sonnet-5,claude-sonnet-5,Anthropic,492,10
claude-opus-4-8,claude-opus-4-8,Anthropic,467,10
claude-opus-4-8,claude-opus-4-8,Anthropic,467,10
claude-opus-4-8,claude-opus-4-8,Anthropic,467,10
gpt-5.4,gpt-5.4,OpenAI,435,4
text-embedding-3-small,text-embedding-3-small,OpenAI,386,2
glm-5.2,GLM-5.2,Zhipu,296,3
glm-5.2,GLM-5.2,Zhipu,296,3
gemini-3.5-flash,gemini-3.5-flash,Google,290,6
gemini-3.5-flash,gemini-3.5-flash,Google,290,6
kimi-k3,kimi-k3,Moonshot,290,1
gemini-3.5-flash,gemini-3.5-flash,Google,290,6
gemini-2.5-pro,gemini-2.5-pro,Google,218,6
gemini-2.5-pro,gemini-2.5-pro,Google,218,6
gemini-2.5-pro,gemini-2.5-pro,Google,217,6
claude-fable-5,claude-fable-5,Anthropic,177,8
claude-fable-5,claude-fable-5,Anthropic,177,8
aion-3.0,Aion 3.0,Aion Labs,172,1
gemini-embedding-001,gemini-embedding-001,Google,114,1
grok-4.5,grok-4.5,xAI,98,2
grok-4.5,grok-4.5,xAI,98,2
nai-diffusion-4-full,nai-diffusion-4-full,Other,94,1
gpt-5,gpt-5,OpenAI,92,1
gpt-4.1-nano,gpt-4.1-nano,OpenAI,70,1
nai-diffusion-4-curated-preview,nai-diffusion-4-curated-preview,Other,70,1
deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,DeepSeek,54,1
glm-5.1,[req]glm-5.1,Zhipu,52,2
glm-5.1,[req]glm-5.1,Zhipu,52,2
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,Anthropic,51,8
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,Anthropic,51,8
hy3,Hy3,Tencent,43,1
gpt-4o-mini,gpt-4o-mini,OpenAI,38,2
aion-3.0-mini,Aion 3.0 Mini,Aion Labs,35,1
qwen3.8-max,Qwen3.8 Max,Alibaba,29,1
qwen3-coder-plus,Qwen3 Coder Plus,Alibaba,29,1
flux-schnell,Flux Schnell,Other,25,1
gemini-3-pro-preview,gemini-3-pro-preview,Google,18,5
gemini-3-pro-preview,gemini-3-pro-preview,Google,18,5
gpt-4.1-mini,gpt-4.1-mini,OpenAI,18,1
gemini-3-pro-preview,gemini-3-pro-preview,Google,18,5
aion-2.0,Aion 2.0,Aion Labs,16,1
gemini-2.5-flash,gemini-2.5-flash,Google,13,4
gemini-2.5-flash,gemini-2.5-flash,Google,13,4
gpt-4o,gpt-4o,OpenAI,12,1
krea/krea-2-turbo,Krea 2 Turbo,Other,10,1
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,Anthropic,9,2
krea/krea-2-large,Krea 2 Large,Other,8,1
grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xAI,7,1
laguna-s-2.1,Laguna S 2.1,Other,7,1
dolphin-mistral,Dolphin Mistral,Other,6,1
aion-rp-llama-3.1-8b,Aion-RP 1.0 (8B),Aion Labs,5,1
mercury-2,Mercury 2,Other,5,1
qwen3.7-flash,Qwen3.7 Flash,Alibaba,5,1
qwen3-coder-next,Qwen3 Coder Next,Alibaba,5,1
realtime-flux,Realtime Flux,Other,5,1
aion-2.5,Aion 2.5,Aion Labs,4,1
gpt-5.3-codex,gpt-5.3-codex,OpenAI,4,2
grok-4.20-0309-reasoning,grok-4.20-0309-reasoning,xAI,4,1
qwen3-14b,Qwen3 14B,Alibaba,4,1
gpt-4.1,gpt-4.1,OpenAI,3,1
mercury-edit-2,Mercury Edit 2,Other,3,1
mimo-v2.5,MiMo V2.5,Xiaomi,3,1
o3-mini,o3-mini,OpenAI,3,1
qwen-2512,Qwen 2512,Alibaba,3,1
codex-auto-review,codex-auto-review,Other,2,3
flux-pro,Flux Pro,Other,2,1
gpt-image-2-pool,GPT Image 2,OpenAI,2,1
ling-3.0-flash,Ling 3.0 Flash,InclusionAI,2,1
mythomax-13b,MythoMax 13B,Other,2,1
north-mini-code,North Mini Code,Other,2,1
qwen3-max,Qwen3 Max,Alibaba,2,1
text-embedding-v4,Text Embedding V4,Alibaba,2,1
3d-image,Image-to-3D,Other,1,1
bg-remover,Background Remover,Other,1,1
claude-opus-4-6-thinking,[req]claude-opus-4-6-thinking,Anthropic,1,2
claude-sonnet-4-6-thinking,claude-sonnet-4-6-thinking-r,Anthropic,1,2
controlnet,ControlNet,Other,1,1
deepseek-v3.2,DeepSeek V3.2,DeepSeek,1,1
face-swap,Face Swap,Other,1,1
flux-2,Flux 2,Other,1,1
flux-dev,Flux Dev,Other,1,1
gemini-2.5-flash-lite,gemini-2.5-flash-lite,Google,1,2
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,Google,1,2
gemini-3-pro-image,gemini-3-pro-image,Google,1,2
img2img,Image-to-Image,Other,1,1
inpaint,Inpaint,Other,1,1
juggernaut-xl,Juggernaut XL,Other,1,1
nemotron-3-ultra,Nemotron 3 Ultra,NVIDIA,1,1
o1,o1,OpenAI,1,1
pony-realism,Pony Realism,Other,1,1
qwen-plus-character,Qwen Plus Character,Alibaba,1,1
qwen-vl-ocr,Qwen-VL OCR,Alibaba,1,1
claude-opus-4-6-thinking,[req]claude-opus-4-6-thinking,Anthropic,1,2
claude-sonnet-4-6-thinking,claude-sonnet-4-6-thinking-r,Anthropic,1,2
sd-3-5,Stable Diffusion 3.5,Other,1,1
sdxl-lightning,SDXL Lightning,Other,1,1
super-resolution,Super Resolution,Other,1,1
text-embedding-3-large,text-embedding-3-large,OpenAI,1,2
uncrop,Uncrop / Outpaint,Other,1,1
z-image,Z-Image,Other,1,1
3d-text,Text-to-3D,Other,0,1
claude-opus-4-5-20251101,claude-opus-4-5-20251101,Anthropic,0,6
claude-opus-4-6,claude-opus-4-6,Anthropic,0,10
claude-opus-4-6,claude-opus-4-6,Anthropic,0,10
cogvideo-x,CogVideoX,Other,0,1
dreamshaper,DreamShaper,Other,0,1
flux,Flux,Other,0,1
flux2-klein-4b,Flux 2 Klein 4B,Other,0,1
flux-kontext,Flux Kontext,Other,0,1
gemini-2.5-flash-image,gemini-2.5-flash-image,Google,0,2
gemini-3.1-flash-image,gemini-3.1-flash-image,Google,0,2
gemini-3.1-flash-image-preview,gemini-3.1-flash-image-preview,Google,0,1
gemini-3.1-flash-lite-image,gemini-3.1-flash-lite-image,Google,0,1
gemini-3.1-pro-preview-customtools,gemini-3.1-pro-preview-customtools,Google,0,1
gemini-3.5-flash-lite,gemini-3.5-flash-lite,Google,0,2
gemini-3-pro-image-preview,gemini-3-pro-image-preview,Google,0,1
gemini-embedding-2-preview,gemini-embedding-2-preview,Google,0,1
glm-5.2-fast-preview,GLM-5.2 Fast Preview,Zhipu,0,1
gpt-5.1,gpt-5.1,OpenAI,0,2
gpt-image-2-c,gpt-image-2-c,OpenAI,0,1
grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,xAI,0,1
grok-4.3,grok-4.3,xAI,0,2
grok-build-0.1,grok-build-0.1,xAI,0,1
kimi-k2.7-code,Kimi K2.7 Code,Moonshot,0,1
krea/krea-1,Krea 1,Other,0,1
krea/krea-2-medium,Krea 2 Medium,Other,0,1
longcat-2.0,Longcat 2.0,Other,0,1
mochi-1,Mochi 1,Other,0,1
music-gen,Music Generation,Other,0,1
qwen,Qwen,Alibaba,0,1
qwen3-235b-a22b,Qwen3 235B A22B,Alibaba,0,1
qwen3-235b-a22b-instruct-2507,Qwen3 235B A22B Instruct 2507,Alibaba,0,1
qwen3-235b-a22b-thinking-2507,Qwen3 235B A22B Thinking 2507,Alibaba,0,1
qwen3-30b-a3b,Qwen3 30B A3B,Alibaba,0,1
qwen3-30b-a3b-instruct-2507,Qwen3 30B A3B Instruct 2507,Alibaba,0,1
qwen3-30b-a3b-thinking-2507,Qwen3 30B A3B Thinking 2507,Alibaba,0,1
qwen3.5-122b-a10b,Qwen3.5 122B A10B,Alibaba,0,1
